Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2017-07-06 10:27PM,2017-07-07 06:17AM,452,18,,470,,,
2017-07-05 10:41PM,2017-07-06 06:30AM,457,12,,469,,,
2017-07-04 11:37PM,2017-07-05 06:33AM,386,12,,416,,,
2017-07-02 10:38PM,2017-07-03 07:15AM,504,12,,516,,,
2017-07-01 10:26PM,2017-07-02 07:26AM,515,24,,540,,,
2017-06-29 10:52PM,2017-06-30 05:51AM,404,15,,419,,,
2017-06-28 09:59PM,2017-06-29 06:26AM,479,23,,507,,,
2017-06-27 10:24PM,2017-06-28 06:17AM,456,17,,473,,,
2017-06-25 09:41PM,2017-06-26 05:58AM,467,30,,497,,,
2017-06-24 10:33PM,2017-06-25 06:46AM,465,28,,493,,,
2017-06-23 09:11PM,2017-06-24 06:16AM,528,17,,545,,,
2017-06-22 09:05PM,2017-06-23 02:28AM,300,23,,323,,,
2017-06-21 09:52PM,2017-06-22 05:25AM,447,2,,453,,,
2017-06-20 10:44PM,2017-06-21 04:32AM,340,7,,347,,,
2017-06-18 10:23PM,2017-06-19 06:16AM,458,14,,472,,,
2017-06-17 10:44PM,2017-06-18 05:56AM,417,14,,431,,,
2017-06-15 11:14PM,2017-06-16 06:10AM,388,24,,416,,,
2017-06-14 10:15PM,2017-06-15 06:26AM,470,21,,491,,,
2017-06-13 10:27PM,2017-06-14 06:23AM,463,12,,476,,,
2017-06-11 10:18PM,2017-06-12 06:13AM,467,8,,475,,,
2017-06-10 11:14PM,2017-06-11 06:06AM,395,16,,411,,,
2017-06-09 09:42PM,2017-06-10 05:20AM,423,35,,458,,,
2017-06-08 08:55PM,2017-06-09 06:19AM,510,53,,563,,,
2017-06-06 09:26PM,2017-06-07 06:30AM,530,13,,544,,,
2017-08-05 09:30PM,2017-08-06 05:07AM,420,35,,456,,,
2017-08-04 08:46PM,2017-08-05 05:10AM,481,22,,504,,,
2017-08-03 08:42PM,2017-08-04 04:56AM,455,39,,494,,,
2017-08-02 07:01PM,2017-08-03 06:52AM,667,43,,710,,,
2017-07-30 10:20PM,2017-07-31 06:30AM,472,18,,490,,,
2017-07-28 10:22PM,2017-07-29 06:37AM,489,6,,495,,,
2017-07-27 09:43PM,2017-07-28 06:32AM,480,49,,529,,,
2017-07-26 09:21PM,2017-07-27 05:22AM,469,12,,481,,,
2017-07-24 10:28PM,2017-07-25 06:22AM,441,33,,474,,,
2017-07-23 09:50PM,2017-07-24 06:21AM,493,18,,511,,,
2017-07-21 10:03PM,2017-07-22 06:59AM,505,31,,536,,,
2017-07-20 10:12PM,2017-07-21 06:31AM,480,17,,498,,,
2017-07-19 10:22PM,2017-07-20 06:28AM,444,41,,486,,,
2017-07-18 11:26PM,2017-07-19 06:34AM,417,6,,428,,,
2017-07-17 11:12PM,2017-07-18 06:32AM,402,37,,439,,,
2017-07-15 10:08PM,2017-07-16 06:38AM,468,41,,509,,,
2017-07-14 10:46PM,2017-07-15 06:25AM,430,23,,459,,,
2017-07-13 10:47PM,2017-07-14 05:33AM,381,25,,406,,,
2017-07-11 11:00PM,2017-07-12 06:26AM,436,9,,445,,,
2017-07-09 10:06PM,2017-07-10 06:16AM,477,13,,490,,,
2017-07-08 11:31PM,2017-07-09 06:51AM,412,22,,440,,,
2017-07-08 12:45AM,2017-07-08 07:29AM,399,5,,404,,,
2017-07-06 10:27PM,2017-07-07 06:17AM,452,18,,470,,,
2017-09-04 11:23PM,2017-09-05 06:49AM,384,62,,446,,,
2017-09-03 10:51PM,2017-09-04 06:31AM,418,42,,460,,,
2017-09-02 10:10PM,2017-09-03 06:50AM,483,36,,519,,,
2017-09-01 09:29PM,2017-09-02 06:39AM,517,33,,550,,,
2017-08-31 10:36PM,2017-09-01 05:55AM,404,28,,439,,,
2017-08-30 10:36PM,2017-08-31 06:50AM,468,26,,494,,,
2017-08-29 09:29PM,2017-08-30 06:21AM,480,48,,532,,,
2017-08-28 10:36PM,2017-08-29 06:25AM,441,27,,468,,,
2017-08-27 10:01PM,2017-08-28 06:43AM,493,28,,521,,,
2017-08-26 11:09PM,2017-08-27 06:55AM,452,14,,466,,,
2017-08-24 10:11PM,2017-08-25 07:08AM,496,41,,537,,,
2017-08-22 09:44PM,2017-08-23 06:27AM,506,16,,522,,,
2017-08-22 01:49AM,2017-08-22 06:19AM,258,9,,270,,,
2017-08-21 10:44PM,2017-08-21 11:53PM,68,0,,68,,,
2017-08-20 09:57PM,2017-08-21 06:27AM,494,16,,510,,,
2017-08-19 10:26PM,2017-08-20 07:28AM,490,49,,542,,,
2017-08-18 09:36PM,2017-08-19 06:50AM,478,73,,554,,,
2017-08-17 10:03PM,2017-08-18 06:21AM,455,36,,498,,,
2017-08-16 10:16PM,2017-08-17 06:27AM,465,25,,490,,,
2017-08-15 02:35AM,2017-08-15 06:46AM,236,8,,251,,,
2017-08-13 10:18PM,2017-08-14 06:33AM,443,52,,495,,,
2017-08-12 10:23PM,2017-08-13 06:33AM,488,2,,490,,,
2017-08-10 08:40PM,2017-08-11 07:03AM,579,43,,622,,,
2017-08-09 09:58PM,2017-08-10 06:18AM,476,23,,499,,,
2017-08-08 10:40PM,2017-08-09 06:33AM,437,35,,472,,,
2017-08-07 09:23PM,2017-08-08 05:58AM,491,24,,515,,,
2017-08-06 09:32PM,2017-08-07 05:22AM,455,15,,470,,,
2017-08-05 09:30PM,2017-08-06 05:07AM,420,35,,456,,,
2017-10-04 10:32PM,2017-10-05 06:31AM,419,60,,479,,,
2017-10-03 10:10PM,2017-10-04 06:43AM,481,32,,513,,,
2017-10-02 10:11PM,2017-10-03 06:08AM,446,30,,476,,,
2017-10-01 09:19PM,2017-10-02 06:22AM,504,38,,542,,,
2017-09-30 10:12PM,2017-10-01 06:53AM,478,42,,520,,,
